Date,Open,High,Low,Close,Adj Close,Volume
2018-07-27,324.399994,325.140015,321.790009,324.089996,291.120575,1009900
2018-07-30,324.100006,325.989990,319.619995,320.109985,287.545410,1270500
2018-07-31,321.380005,326.429993,321.380005,326.100006,292.926086,986300
2018-08-01,325.589996,326.070007,322.570007,324.929993,291.875122,1392200
2018-08-02,322.529999,323.149994,320.239990,322.019989,289.261108,820400
2018-08-03,322.619995,322.619995,319.109985,320.549988,287.940643,945400
2018-08-06,318.609985,318.609985,313.679993,316.920013,284.679962,1736700
2018-08-07,317.239990,318.239990,313.579987,317.410004,285.120148,1088500
2018-08-08,317.500000,317.779999,314.209991,315.309998,283.233734,922600
2018-08-09,314.790009,316.500000,312.670013,315.709991,283.593048,1048200
2018-08-10,314.899994,314.899994,311.390015,313.119995,281.266479,1081900
2018-08-13,312.510010,315.260010,312.000000,313.640015,281.733612,790300
2018-08-14,314.890015,320.209991,314.630005,318.589996,286.180084,974500
2018-08-15,318.369995,318.910004,314.440002,317.700012,285.380585,1321400
2018-08-16,320.000000,326.619995,319.809998,325.859985,292.710449,1195200
2018-08-17,325.859985,327.420013,324.720001,325.230011,292.144623,1397400
2018-08-20,325.260010,325.970001,323.809998,324.220001,291.237366,877400
2018-08-21,324.399994,325.410004,323.130005,324.390015,291.390076,1167600
2018-08-22,324.049988,324.519989,321.799988,321.920013,289.171356,690600
2018-08-23,322.079987,322.149994,318.869995,320.010010,287.455658,717700
2018-08-24,320.000000,321.390015,318.720001,321.290009,288.605347,773200
2018-08-27,322.070007,325.000000,322.000000,324.339996,291.345154,737500
2018-08-28,324.660004,325.000000,322.299988,324.339996,291.345154,820000
2018-08-29,324.459991,324.920013,322.200012,324.320007,291.327179,966000
2018-08-30,324.000000,326.489990,320.929993,321.850006,289.108429,1409700
2018-08-31,318.559998,320.890015,317.010010,320.410004,289.614624,1055500
2018-09-04,320.000000,322.250000,317.600006,321.910004,290.970459,947400
2018-09-05,320.890015,321.670013,319.510010,321.329987,290.446259,892700
2018-09-06,321.559998,329.540009,321.299988,328.910004,297.297668,1326600
2018-09-07,328.029999,330.880005,326.890015,328.529999,296.954224,1292000
2018-09-10,328.720001,329.179993,322.660004,322.950012,291.910492,1424000
2018-09-11,322.040009,323.850006,320.299988,322.230011,291.259735,798200
2018-09-12,321.380005,325.839996,321.380005,325.279999,294.016541,1326400
2018-09-13,326.720001,331.859985,326.589996,331.279999,299.439850,1294800
2018-09-14,331.309998,336.500000,329.500000,335.799988,303.525421,1312000
2018-09-17,336.500000,339.679993,336.000000,339.339996,306.725220,1117300
2018-09-18,340.000000,344.850006,339.480011,343.220001,310.232269,1149100
2018-09-19,343.220001,345.769989,336.510010,339.299988,306.689117,1771200
2018-09-20,339.859985,340.299988,329.010010,333.130005,301.112122,2003900
2018-09-21,334.070007,337.910004,334.070007,337.660004,305.206604,1875700
2018-09-24,336.809998,339.320007,334.299988,337.579987,305.134308,1176800
2018-09-25,338.480011,345.329987,337.450012,343.540009,310.521576,1360500
2018-09-26,343.000000,344.859985,342.390015,342.880005,309.924927,1159900
2018-09-27,344.160004,346.790009,342.410004,346.049988,312.790283,1170000
2018-09-28,345.720001,348.000000,344.709991,345.959991,312.708923,1827500
2018-10-01,347.089996,348.329987,344.869995,347.929993,314.489594,809500
2018-10-02,348.619995,349.880005,346.369995,349.070007,315.520081,960500
2018-10-03,350.000000,351.350006,347.220001,347.440002,314.046692,1237500
2018-10-04,346.820007,349.660004,345.589996,349.459991,315.872528,1203600
2018-10-05,348.299988,350.899994,345.649994,347.209991,313.838806,889000
2018-10-08,346.890015,350.489990,346.269989,349.929993,316.297333,825100
2018-10-09,348.619995,349.459991,346.160004,347.309998,313.929199,986100
2018-10-10,346.850006,347.250000,336.750000,336.750000,304.384064,1792500
2018-10-11,334.730011,338.000000,325.010010,326.260010,294.902344,1937900
2018-10-12,330.589996,331.470001,322.600006,327.619995,296.131561,1294000
2018-10-15,327.929993,333.980011,327.929993,331.239990,299.403625,1003600
2018-10-16,332.470001,337.399994,331.140015,337.130005,304.727631,860300
2018-10-17,335.720001,337.190002,333.320007,333.399994,301.356079,1181700
2018-10-18,331.350006,333.320007,325.040009,328.000000,296.475067,1323000
2018-10-19,327.200012,330.040009,326.059998,328.140015,296.601685,1101200
2018-10-22,331.619995,331.619995,324.470001,326.779999,295.372375,1407700
2018-10-23,325.230011,334.769989,315.589996,321.350006,290.464264,2995700
2018-10-24,328.109985,328.109985,310.420013,311.130005,281.226563,2396800
2018-10-25,313.209991,316.549988,305.450012,306.410004,276.960175,2352500
2018-10-26,303.399994,308.970001,301.660004,305.049988,275.730865,1909600
2018-10-29,309.500000,309.500000,283.209991,286.670013,259.117432,3262900
2018-10-30,285.609985,292.500000,283.720001,291.070007,263.094513,2870000
2018-10-31,294.359985,299.100006,293.529999,293.850006,265.607361,1980100
2018-11-01,295.730011,301.440002,295.010010,299.420013,270.642029,1526900
2018-11-02,301.040009,302.750000,297.750000,299.279999,270.515442,1597200
2018-11-05,302.000000,304.299988,300.589996,303.209991,274.067749,1650500
2018-11-06,304.049988,308.760010,304.049988,306.559998,277.095764,1123200
2018-11-07,308.059998,309.959991,304.160004,309.820007,280.042419,983000
2018-11-08,310.000000,311.019989,306.359985,308.559998,278.903564,879000
2018-11-09,307.190002,314.160004,307.140015,313.119995,283.025269,1294300
2018-11-12,313.200012,314.230011,304.600006,305.119995,275.794189,1117800
2018-11-13,304.809998,308.859985,302.230011,305.739990,276.354584,1121000
2018-11-14,308.269989,309.679993,303.010010,303.390015,274.230469,1192800
2018-11-15,302.170013,308.000000,299.739990,305.480011,276.119629,1233100
2018-11-16,303.839996,305.250000,299.869995,301.239990,272.287048,1319500
2018-11-19,301.089996,301.089996,293.220001,294.589996,266.276245,1558900
2018-11-20,291.359985,295.250000,288.559998,293.859985,265.616394,1281100
2018-11-21,295.000000,297.850006,294.230011,294.290009,266.005066,1355600
2018-11-23,293.059998,297.940002,291.929993,295.380005,266.990326,434300
2018-11-26,297.040009,298.850006,292.920013,295.279999,266.899902,1375900
2018-11-27,293.899994,295.660004,289.600006,295.290009,266.908966,1477400
2018-11-28,297.850006,300.529999,293.940002,299.940002,271.112091,1282700
2018-11-29,301.000000,304.980011,300.279999,302.420013,273.353729,2788500
2018-11-30,300.750000,303.529999,297.880005,300.429993,273.544922,3666200
2018-12-03,304.940002,305.329987,295.899994,296.790009,270.230591,1764700
2018-12-04,295.720001,295.720001,286.029999,286.730011,261.070862,2208100
2018-12-06,282.899994,286.890015,277.200012,286.350006,260.724884,2793700
2018-12-07,285.399994,290.350006,285.209991,285.399994,259.859863,1407200
2018-12-10,289.929993,298.929993,289.190002,298.399994,271.696594,2417900
2018-12-11,302.679993,303.250000,290.329987,292.149994,266.005829,1764500
2018-12-12,295.989990,296.799988,292.010010,292.500000,266.324493,1121500
2018-12-13,293.269989,295.269989,291.000000,292.230011,266.078674,1125300
2018-12-14,290.000000,291.239990,286.619995,287.700012,261.954102,1881600
2018-12-17,286.200012,286.790009,277.839996,279.230011,254.241989,1649100
2018-12-18,281.549988,283.839996,278.049988,279.470001,254.460587,1707900
2018-12-19,279.750000,283.809998,271.519989,273.959991,249.443665,1716900
2018-12-20,271.989990,273.820007,261.410004,265.290009,241.549576,2327700
2018-12-21,260.779999,262.640015,255.300003,256.549988,233.591644,3738600
2018-12-24,253.029999,254.630005,245.009995,245.220001,223.275558,1515400
2018-12-26,246.309998,251.889999,241.179993,251.619995,229.102829,1797600
2018-12-27,249.250000,259.790009,248.199997,259.790009,236.541672,2201400
2018-12-28,263.010010,264.829987,260.140015,261.260010,237.880142,1983800
2018-12-31,262.149994,265.109985,259.850006,261.839996,238.408234,1184900
